"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Negative feedback from users: Hide","Negative feedback from users: Hide all"
927239798763033,100044310645639,SUGARCANE,"Happy new year!! ✨

Stoked for what’s ahead. 2023 was definitely a special year for us! Andami naming nasubukan at na experience na never sumagi sa isip naming mararanasan namin. 

We used to record all our songs ourselves - no fancy equipment and no producers at all. Pero thank God, we got to experience all of these last year! 🫶🏻 

Sobrang surreal to have the chance to work with our mastercakes producers, Choi Padilla, Nikhil Amarnani & Shadiel Chan. (hihi stay tuned sa upcoming song namin with sir shad) 🥹

Special thanks to Warner Music Philippines for making all of these happen! Special thanks din always to Sir Kelley, Sir Rem, and to everyone behind the team ✨",,0,"01/01/2024 04:54",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0xNsaUgtwQge11PhMHD12Krvi9Qz536Gk1yTGBFbNaz54oijZJWWpBFsCEZ9ab2w4l,0,0,Photos,,,,,Lifetime,18035,1321,1213,74,34,1805,1125,680,,18035,0,0,0,0,0,0,0,,,,,
979616886858657,100044310645639,SUGARCANE,"Ang dating tamis ng pagsasama, nahanap na 🥰","Ang dating tamis ng pagsasama, nahanap na 🥰

sugarcane.lnk.to/mariaclara",89,"04/01/2024 05:28",N/A,https://www.facebook.com/thesugarcaneph/videos/1905891403214443/,0,0,Videos,,,,,Lifetime,74970,7282,6287,143,852,4343,,4308,35,74970,0,37378,2610,34908,2395,0,37378,727311.684,10.246,0.07,,
976948690458810,100044310645639,SUGARCANE,"Thank you, Wish 107.5! 💃🏽

Watch here: https://www.youtube.com/watch?v=N1YO3panM80",,0,"03/27/2024 22:40",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02apCR8WmkHgudXJetTk3uqsJzQ57qcZbb7U4dSo5qWbSnfGbdvaMBiU3SoQxEUioAl,0,1,Reels,,,,,Lifetime,,,0,0,0,0,,,,,,,,,,0,1430,,,,,
976483663838646,100044310645639,SUGARCANE,"Forever na raw kayo pag ni-remake niyo 'to 🤭","Forever na raw kayo pag ni-remake niyo 'to 🤭",15,"03/27/2024 04:25",N/A,https://www.facebook.com/thesugarcaneph/videos/972074524248519/,0,0,Videos,,,,,Lifetime,17935,1198,1031,110,57,1159,,1159,,17935,0,8456,0,7813,0,0,8456,114765.983,7.042,0.03,,
975919473895065,100044310645639,SUGARCANE,"Message Jess & Pat's to reserve tickets! 🎟️",,0,"03/26/2024 05:13",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0E6864yJb9vmpwbDZGMXxeQwwu3ccwZEovC98yYNsLUANmVmFDBH9sKdPGTKE5tyEl,0,1,Photos,,,,,Lifetime,15958,885,812,23,50,949,317,632,,15958,0,0,0,0,0,0,0,,,,,
975890610564618,100044310645639,SUGARCANE,"Kaya niyo ba 'to? 💃🏽","Kaya niyo ba 'to? 💃🏽

sugarcane.lnk.to/mariaclara",48,"03/26/2024 04:10",N/A,https://www.facebook.com/thesugarcaneph/videos/1818158305314184/,0,0,Videos,,,,,Lifetime,31242,1685,1537,49,99,1246,,1235,11,31242,0,13805,0,13491,0,0,13805,239392.188,8.594,0.11,,
975318793955133,100044310645639,SUGARCANE,"Pano kung may chance pa pala? 🤔
youtu.be/e_my_QCalLI","Pano kung may chance pa pala? 🤔
youtu.be/e_my_QCalLI",52,"03/25/2024 04:49",N/A,https://www.facebook.com/thesugarcaneph/videos/929013875533087/,0,0,Videos,,,,,Lifetime,15318,1013,904,42,67,805,,788,17,15318,0,7201,0,6881,0,0,7201,168259.214,12.369,0.04,,
974701184016894,100044310645639,SUGARCANE,"Ikaw lamang ang hiling na makasama ❤️

Watch our Wishclusive performance of ""Maria Clara"" here: youtu.be/N1YO3panM80","Ikaw lamang ang hiling na makasama ❤️

Watch our Wishclusive performance of ""Maria Clara"" here: youtu.be/N1YO3panM80",80,"03/24/2024 04:24",N/A,https://www.facebook.com/thesugarcaneph/videos/994899702293986/,0,0,Videos,,,,,Lifetime,49864,4529,4040,119,370,2360,,2316,44,49864,0,23928,1689,21897,1507,0,23928,417873.968,8.571,0.13,,
973965484090464,100044310645639,SUGARCANE,"𝐓𝐈𝐏️: Watch ""Leonora"" MV first 🤭🎥
youtu.be/e_my_QCalLI

comment ""ackkk"" if napanood niyo na 🤌",,0,"03/22/2024 22:41",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02byMwZ9w9EWdLg87jkafrWPk4iXBeRYEitZa2CMkRq7KhEboKgvgonqniRgTNCre9l,0,0,Photos,,,,,Lifetime,18747,1827,1619,100,108,873,138,637,98,18747,0,0,0,0,0,0,0,,,,,
973531234133889,100044310645639,SUGARCANE,"“𝐌𝐀𝐑𝐈𝐀 𝐂𝐋𝐀𝐑𝐀” 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖 𝐎𝐍 𝐘𝐎𝐔𝐓𝐔𝐁𝐄! 💃🏽

youtu.be/rehKbRxoxTo

Napanood niyo na bang lahat? Comment down below kung anong favorite part mo sa MV! 🤩","“𝐌𝐀𝐑𝐈𝐀 𝐂𝐋𝐀𝐑𝐀” 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖 𝐎𝐍 𝐘𝐎𝐔𝐓𝐔𝐁𝐄! 💃🏽

youtu.be/rehKbRxoxTo

Napanood niyo na bang lahat? Comment down below kung anong favorite part mo sa MV! 🤩",15,"03/22/2024 07:10",N/A,https://www.facebook.com/thesugarcaneph/videos/1148513049476196/,0,0,Videos,,,,,Lifetime,13274,2030,1750,98,182,628,,602,26,13274,0,6378,0,5400,0,0,6378,86594.699,5.563,0.03,,
