"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Negative feedback from users: Hide all","Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1075802507240094,100044310645639,SUGARCANE,"Beyond grateful to have been a part of #MissBaguio2024 Coronation Night! 👑✨

Huge shoutout to everyone who made this amazing event happen — from the team behind the scenes to the contestants who brought their A-game. Couldn't have asked for a better night! Thank you! 

📷: Angelo Sanidad of A’s Shots 

#MUPHBaguio2024 
Miss Baguio",,0,"09/01/2024 23:57",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid05RsAYuH5atef98CT8UXr5ch3hb7YCzZ1Eaf9cWwKNrzU7NuFcQ4yoA3wfHKqBHfyl,0,0,Photos,,,,,Lifetime,8698,369,347,6,16,,544,175,369,,8698,0,0,0,0,0,0,0,,,
1072642374222774,100044310645639,SUGARCANE,"Still feeling the energy from We Play Here! A huge thank you to everyone who came out and made it an unforgettable event. 🔥

📸: Noel Macadangdang of ACNM Media 

Warner Music Philippines",,0,"08/28/2024 03:30",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid03vc9gyF9pLFEqFo6hDdEjQVhYHibQ5mxx8v7N2gzBhGYa32cxF7qz238YkWuVrx3l,0,0,Photos,,,,,Lifetime,11273,560,499,25,36,,765,302,463,,11273,0,0,0,0,0,0,0,,,
1071744814312530,100044310645639,SUGARCANE,"See you, Baguio!! 🫶🏻",,0,"08/27/2024 00:13",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0bAjJZqZYFfXPTX8f1poziqYpWiq6xP8ecskrwkF4ue2G1QJUAaU6bYMtmbdm4ZHRl,0,1,Photos,,,,,Lifetime,5755,192,182,6,4,,204,131,70,3,5755,0,0,0,0,0,0,0,,,
1071162084370803,100044310645639,SUGARCANE,"We Play Here Campus Tour Highlights | Sugarcane","@[100092286526361:2048:We Play Here] hangover is real! 🔥

Huge thanks to @[100006437491249:2048:Gian Bernardino] for guesting on our set, and to @[100000568784222:2048:Raphaell Ridao], Keanna Magracia, and Cairo Peralta for the support! 🪢

📹: Ivan Aguillon & Noel Macadangdang of @[100080065946395:2048:ACNM Media] 

@[100064878091978:2048:Warner Music Philippines]",93,"08/26/2024 03:09",N/A,https://www.facebook.com/thesugarcaneph/videos/8283124031766460/,0,0,Videos,,,,,Lifetime,12153,1128,1044,13,71,,558,558,,,12153,0,4472,462,3802,407,0,4472,105709.085,9.041,0.08
1070551234431888,100044310645639,SUGARCANE,"Last night was 🔥

Thank you for sharing the stage with us, Gian Bernardino!

#WePlayHere
Warner Music Philippines",,0,"08/25/2024 05:23",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0VeXUBcgLGscPsdu2uxtcQJe2MS93pgwmJSXSKenD481YAbz4cigM3K65NmMB8x6Rl,0,0,Photos,,,,,Lifetime,12249,695,646,16,33,,819,473,346,,12249,0,0,0,0,0,0,0,,,
1069662354520776,100044310645639,SUGARCANE,👏,,0,"08/23/2024 22:02",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0fkSNvvqCyf9ErZKxH7WPFikPLseDAYcphgzRyfJ7PbFiYnotdZt4EkehD7QhNSyUl,0,1,Videos,,,,,Lifetime,2450,130,129,1,0,,163,163,,,2450,0,978,67,940,64,0,978,,,
1068961004590911,100044310645639,SUGARCANE,"Kita kits tayo mamaya sa UP Diliman, folks!! 🤙🏼✨",,0,"08/22/2024 20:24",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid024LdcSLPQdLLgG9sxjY6deZGDhoXSk4SM6QRk8FphwaxSWQ7qPzEqUGkAN3Dzb5edl,0,1,Photos,,,,,Lifetime,6678,196,185,7,4,,516,270,246,,6678,0,0,0,0,0,0,0,,,
1067579818062363,100044310645639,SUGARCANE,"Ayala Malls TriNoma was on fire at Crash Adams' 🇵🇭 tour! Beyond thrilled to have been part of such an unforgettable experience. 🔥

📸: Noel Macadangdang & Adrienne Corales",,0,"08/21/2024 00:32",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02Vo9oxQQNBUdPaH4LUspYjdb6NrBqak2MpoDY3yYDtdy9K5Kr1npDZiwyq7VZULJtl,0,0,Photos,,,,,Lifetime,12896,625,564,20,41,,1076,402,674,,12896,0,0,0,0,0,0,0,,,
1067034778116867,100044310645639,SUGARCANE,"Alamin ang kapalaran ng iyong puso sa We Play Here! Kita-kits sa College of Science Amphitheater, UP Diliman, August 23, 3PM onwards ❤️🕯️✨

Warner Music Philippines",,0,"08/20/2024 04:40",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02wiKYsvaLG5yBoKxxPWoDFuAH1seUB4P6FJuNopeAw8LDgYYhhiGet54FXCzFHTogl,0,0,Photos,,,,,Lifetime,4578,216,193,13,10,,305,166,139,,4578,0,0,0,0,0,0,0,,,
1066308351522843,100044310645639,SUGARCANE,"RED YARN YARN?! 🪢","𝐑𝐞𝐝 𝐘𝐚𝐫𝐧 𝐘𝐚𝐫𝐧? 🪢

Pa-lupet nang pa-lupet dares nyo ha?! Buti nalang wala kaming inaatrasan 😮‍💨

Stream “Pagbigyan” here: sugarcane.lnk.to/pagbigyan",60,"08/19/2024 03:09",auto,https://www.facebook.com/thesugarcaneph/videos/1277357156566676/,0,0,Videos,,,,,Lifetime,2258,165,153,4,8,,89,88,,1,2258,0,1317,0,1185,0,0,1317,37680.312,14.582,0.03
