Post ID,Page ID,Page name,Title,Description,Duration sec,Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption Photo Click,Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Negative feedback from users: Hide all
1096263115194030.00,100044310645639.00,SUGARCANE,"First Circus Music Festival! Wild crowd, sobrang unforgettable nito! Maraming salamat 🤘❤️‍🔥

📷: Noel Macadangdang & Ivan Aguillon of ACNM Media",,0,10/1/2024 3:30,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02VDiWYBjLdutM4K4xsNpwgNxAMTT3uceqKy9653xrTo7XxTYjTwhkCPXs4zUNHzdzl,0,0,Photos,,,,,Lifetime,26752,11483,773,683,40,50,1246,379,867,,,,,
1155632662590410.00,100044310645639.00,SUGARCANE,"Merry Christmas & Happy Holidays, SugarFolks! ❄️",,0,12/25/2024 0:49,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02XFLUgvrpAw7d3fx33bSpEJsYbfcu4gXw7BcknurQVqoL5SjuGKfMgWL6QEVCwRSel,0,0,Photos,,,,,Lifetime,21857,12499,1247,1143,59,45,697,506,191,,,,,
1153448299475510.00,100044310645639.00,SUGARCANE,"Thank you, Maskipaps: The Crossover! 🫧 First time namin 'to pero grabe yung init ng pagtanggap niyo. Perfect way to cap off the year! 🌟

📷: Noel, Ivan, & Alyxter of ACNM Media",,0,12/21/2024 20:32,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02WHK3JxgRv68WTtx9rqUFJDpnCoMPjDXou3G7yVqsmnEkqGjxazoTzqN4RPfDEax4l,0,0,Photos,,,,,Lifetime,21372,10463,629,569,11,49,1097,391,705,1,,,,
1152646472889030.00,100044310645639.00,SUGARCANE,"See you later sa Pangil Laguna, folks!! 🫂✨",,0,12/20/2024 16:18,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid06Z9zd8XR8Da3dEmDdzzFpEcMCYnQ6TSysBuhetzC1HaJp5Be8DoBFEDwyBAHpCfBl,0,0,Photos,,,,,Lifetime,17200,9395,431,341,43,47,962,697,265,,,,,
1152075502946120.00,100044310645639.00,SUGARCANE,See you later sa Maskipaps!! ❤️‍🔥,,0,12/19/2024 20:25,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0huTyxnHAVkneFzHt518e1Yi2HC8FhohRM65yTcjYHvomy4Q15qAB9tXJaNTbdYF9l,0,1,Photos,,,,,Lifetime,8935,5920,179,163,9,7,196,137,55,4,,,,
1150887536398250.00,100044310645639.00,SUGARCANE,"Final Episode of ""Ano Ang Lagi Na Lang Niyo?"" 🎙️

Watch the full episode here: https://youtu.be/C7MtYT6bTQU

In this mini podcast series, SUGARCANE will be joined by some of their amazing fans who share their stories as we dive into the theme: “Ano ang lagi nalang sa buhay niyo?” In this EP's topic - career. 🫂

Stream ""Lagi Na Lang"": sugarcane.lnk.to/laginalang","Final Episode of ""Ano Ang Lagi Na Lang Niyo?"" 🎙️

Watch the full episode here: https://youtu.be/C7MtYT6bTQU

In this mini podcast series, SUGARCANE will be joined by some of their amazing fans who share their stories as we dive into the theme: “Ano ang lagi nalang sa buhay niyo?” In this EP's topic - career. 🫂

Stream ""Lagi Na Lang"": sugarcane.lnk.to/laginalang",60,12/18/2024 3:13,mixed,https://www.facebook.com/reel/1161004735447112/,0,0,Reels,,,,,Lifetime,3792,3745,134,120,4,10,0,,,,26863.154,7.723,0,
1149501569870180.00,100044310645639.00,SUGARCANE,"Some takeaways from the 1st episode of our mini podcast series. 🎙️ Ikaw? Anong kwentong “Lagi Na Lang” mo? 🫂

watch the full episode on our Youtube channel!","Some takeaways from the 1st episode of our mini podcast series. 🎙️ Ikaw? Anong kwentong “Lagi Na Lang” mo? 🫂

watch the full episode on our Youtube channel!",31,12/16/2024 1:45,mixed,https://www.facebook.com/reel/1279661986487514/,1,0,Reels,,,,,Lifetime,4343,4340,112,99,6,7,0,,,,19712.206,4.907,0,
1146308913522780.00,100044310645639.00,SUGARCANE,"2nd Episode of ""Ano Ang Lagi Na Lang Niyo?"" 🎙️

Watch the full episode here: https://youtu.be/krGw2A5HAyU

In this mini podcast series, SUGARCANE will be joined by some of their amazing fans who share their stories, insights, and laughs as we dive into the theme: “Ano ang lagi nalang sa buhay niyo?”

In today's episode, we'll be tackling something that’s relatable to us all — the wonders and pain of relationships. 🫂

Stream ""Lagi Na Lang"": sugarcane.lnk.to/laginalang","2nd Episode of ""Ano Ang Lagi Na Lang Niyo?"" 🎙️

Watch the full episode here: https://youtu.be/krGw2A5HAyU

In this mini podcast series, SUGARCANE will be joined by some of their amazing fans who share their stories, insights, and laughs as we dive into the theme: “Ano ang lagi nalang sa buhay niyo?”

In today's episode, we'll be tackling something that’s relatable to us all — the wonders and pain of relationships. 🫂

Stream ""Lagi Na Lang"": sugarcane.lnk.to/laginalang",60,12/11/2024 3:00,auto,https://www.facebook.com/reel/2066886960419729/,1,0,Reels,,,,,Lifetime,4345,3887,158,137,11,10,0,,,,25957.557,6.482,0,
1143465237140480.00,100044310645639.00,SUGARCANE,"Back to back gigs this weekend, Laguna & Baguio folks‼️

1️⃣ University of Perpetual Help System Laguna

📆 Date: December 7, 2024 (Saturday)
📍 Venue: UPHSL Oval
🎟️: Walk-ins and outsiders are allowed

UPH-Dr. Jose G. Tamayo Medical University Supreme Student Council

2️⃣ Valley Bread

📆 Date: December 8, 2024 (Sunday) 
📍 Venue: Malcom Square, Baguio City
🎟️: Event is open to the public; Free admission 

See you around!! ❤️‍🔥",,0,12/6/2024 21:08,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02AZLQznC7QW9xCHAAUT6UmUB3Cmfyuu5mZBHFKMQzw6VGNVzTcXKgDydngEvkbutXl,0,0,Photos,,,,,Lifetime,17243,8825,424,358,30,36,632,344,288,,,,,
1142815033872170.00,100044310645639.00,SUGARCANE,"See you tomorrow, Perpetualites! ✨ 

📆Date: December 7, 2024 (Saturday)
📍 Venue: UPHSL Oval
🎟️: Walk-ins and outsiders are allowed 

Can't wait to see all of you!! ❤

#Perpskuhan2024",,0,12/5/2024 23:20,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02AtStzFGfsZ8cJtretrqDRLyD1CFhRCLBRhQxX866cTicbGJwwbXbDNYy2mjG97zxl,0,1,Photos,,,,,Lifetime,8152,4816,121,111,3,7,173,140,33,,,,,
