post_type,day_of_week,hour,predicted_reach,predicted_tier,confidence,range_lower,range_upper
Reels,Monday,9,17024,High,0.4697956352697992,11916,22131
Reels,Monday,12,17215,High,0.49637982972165856,12050,22379
Reels,Monday,15,17526,High,0.5029415155505229,12268,22783
Reels,Monday,18,17742,High,0.49474577192725755,12419,23064
Reels,Monday,21,17358,High,0.5016830661982532,12150,22565
Reels,Tuesday,9,17051,High,0.47084978136028255,11935,22166
Reels,Tuesday,12,17242,High,0.4974339758121419,12069,22414
Reels,Tuesday,15,17569,High,0.5039956616410062,12298,22839
Reels,Tuesday,18,17786,High,0.49579991801774076,12450,23121
Reels,Tuesday,21,17401,High,0.5027372122887364,12180,22621
Reels,Wednesday,9,17079,High,0.4708497813602826,11955,22202
Reels,Wednesday,12,17271,High,0.4974339758121418,12089,22452
Reels,Wednesday,15,17584,High,0.5039956616410062,12308,22859
Reels,Wednesday,18,17801,High,0.49579991801774087,12460,23141
Reels,Wednesday,21,17416,High,0.5027372122887365,12191,22640
Reels,Thursday,9,16968,High,0.4708497813602826,11877,22058
Reels,Thursday,12,17157,High,0.4974339758121419,12009,22304
Reels,Thursday,15,17466,High,0.5039956616410063,12226,22705
Reels,Thursday,18,17681,High,0.49579991801774087,12376,22985
Reels,Thursday,21,17172,High,0.5027372122887364,12020,22323
Reels,Friday,9,16902,High,0.47084978136028255,11831,21972
Reels,Friday,12,17089,High,0.4974339758121419,11962,22215
Reels,Friday,15,17395,High,0.5039956616410062,12176,22613
Reels,Friday,18,17608,High,0.49579991801774076,12325,22890
Reels,Friday,21,17104,High,0.5027372122887364,11972,22235
Reels,Saturday,9,16917,High,0.4708497813602826,11841,21992
Reels,Saturday,12,17104,High,0.4979095123878704,11972,22235
Reels,Saturday,15,17410,High,0.5044711982167347,12187,22633
Reels,Saturday,18,17623,High,0.4962754545934693,12336,22909
Reels,Saturday,21,17171,High,0.5032127488644648,12019,22322
Reels,Sunday,9,16822,High,0.4708497813602826,11775,21868
Reels,Sunday,12,17007,High,0.4979095123878704,11904,22109
Reels,Sunday,15,17311,High,0.5044711982167347,12117,22504
Reels,Sunday,18,17521,High,0.4962754545934693,12264,22777
Reels,Sunday,21,17073,High,0.5032127488644649,11951,22194
Videos,Monday,9,22250,High,0.4938313594700976,15574,28925
Videos,Monday,12,22351,High,0.5245651216858481,15645,29056
Videos,Monday,15,22613,High,0.5311268075147125,15829,29396
Videos,Monday,18,22700,High,0.5229310638914471,15889,29510
Videos,Monday,21,21806,High,0.536448770251224,15264,28347
Videos,Tuesday,9,22255,High,0.49724885588575984,15578,28931
Videos,Tuesday,12,22356,High,0.5279826181015104,15649,29062
Videos,Tuesday,15,22633,High,0.5345443039303749,15843,29422
Videos,Tuesday,18,22721,High,0.5263485603071093,15904,29537
Videos,Tuesday,21,21827,High,0.5398662666668861,15278,28375
Videos,Wednesday,9,22332,High,0.4972488558857598,15632,29031
Videos,Wednesday,12,22441,High,0.5279826181015104,15708,29173
Videos,Wednesday,15,22706,High,0.5345443039303749,15894,29517
Videos,Wednesday,18,22794,High,0.5263485603071093,15955,29632
Videos,Wednesday,21,21898,High,0.5398662666668861,15328,28467
Videos,Thursday,9,22254,High,0.49724885588575984,15577,28930
Videos,Thursday,12,22362,High,0.5279826181015104,15653,29070
Videos,Thursday,15,22624,High,0.5345443039303749,15836,29411
Videos,Thursday,18,22711,High,0.5263485603071094,15897,29524
Videos,Thursday,21,21683,High,0.5398662666668861,15178,28187
Videos,Friday,9,22294,High,0.49724885588575995,15605,28982
Videos,Friday,12,22402,High,0.5279826181015105,15681,29122
Videos,Friday,15,22664,High,0.5345443039303748,15864,29463
Videos,Friday,18,22751,High,0.5263485603071093,15925,29576
Videos,Friday,21,21721,High,0.539866266666886,15204,28237
Videos,Saturday,9,22240,High,0.49724885588575984,15567,28912
Videos,Saturday,12,22348,High,0.5284581546772389,15643,29052
Videos,Saturday,15,22609,High,0.5350198405061033,15826,29391
Videos,Saturday,18,22696,High,0.5268240968828378,15887,29504
Videos,Saturday,21,21722,High,0.5403418032426146,15205,28238
Videos,Sunday,9,22096,High,0.49724885588575984,15467,28724
Videos,Sunday,12,22202,High,0.5284581546772389,15541,28862
Videos,Sunday,15,22459,High,0.5350198405061033,15721,29196
Videos,Sunday,18,22545,High,0.5268240968828378,15781,29308
Videos,Sunday,21,21575,High,0.5403418032426144,15102,28047
Photos,Monday,9,21017,High,0.45287988024835985,14711,27322
Photos,Monday,12,21126,High,0.4821629050127033,14788,27463
Photos,Monday,15,21485,High,0.48872459084156766,15039,27930
Photos,Monday,18,21594,High,0.4811572992462475,15115,28072
Photos,Monday,21,20454,High,0.48272468872168484,14317,26590
Photos,Tuesday,9,21180,High,0.4568591206459378,14825,27534
Photos,Tuesday,12,21291,High,0.48614214541028133,14903,27678
Photos,Tuesday,15,21655,High,0.4927038312391456,15158,28151
Photos,Tuesday,18,21779,High,0.48513653964382547,15245,28312
Photos,Tuesday,21,20619,High,0.4867039291192628,14433,26804
Photos,Wednesday,9,21226,High,0.45685912064593787,14858,27593
Photos,Wednesday,12,21338,High,0.48614214541028133,14936,27739
Photos,Wednesday,15,21702,High,0.4927038312391458,15191,28212
Photos,Wednesday,18,21827,High,0.48513653964382547,15278,28375
Photos,Wednesday,21,20677,High,0.4867039291192628,14473,26880
Photos,Thursday,9,21143,High,0.4568591206459377,14800,27485
Photos,Thursday,12,21254,High,0.4861421454102813,14877,27630
Photos,Thursday,15,21617,High,0.4927038312391457,15131,28102
Photos,Thursday,18,21741,High,0.4851365396438256,15218,28263
Photos,Thursday,21,20486,High,0.4867039291192628,14340,26631
Photos,Friday,9,21135,High,0.46185912064593765,14794,27475
Photos,Friday,12,21246,High,0.49114214541028134,14872,27619
