post_id,page_id,page_name,title,description,post_type,duration_sec,publish_time,year,month,day,time,permalink,is_crosspost,is_share,funded_content_status,reach,shares,comments,reactions,seconds_viewed,average_seconds_viewed,impressions
3.0672E+14,1E+14,SUGARCANE,"""Sinehan"" Music Video Launch",,Text,0,9/12/2023 10:24,2023,9,12,10:24:00,https://www.facebook.com/events/306719668623365/,FALSE,FALSE,NaN,0,NaN,NaN,NaN,0,0,NaN
4.14347E+14,1E+14,SUGARCANE,"Happy birthday to our beloved drummer, Froilan! ??",,Photos,0,10/2/2021 7:58,2021,10,2,7:58:00,https://www.facebook.com/thesugarcaneph/posts/pfbid023gNcn7n2rP8GPtnbJr6SLjfB527rkmqk8x62FAJ3xbHPC5J2ih9mCrot3NTy9xocl,FALSE,FALSE,NaN,371,7,6,45,6,1,NaN
4.18E+14,1E+14,SUGARCANE,SUGARCANE added a new photo.,,Photos,0,10/8/2021 5:16,2021,10,8,5:16:00,https://www.facebook.com/photo.php?fbid=417999776353707&set=a.228682278618792&type=3,FALSE,FALSE,NaN,939,0,35,40,0,0,NaN
4.24828E+14,1E+14,SUGARCANE,Rainbow | ? South Border | SUGARCANE (Cover),Rainbow | ? South Border | SUGARCANE (Cover),Videos,311,10/18/2021 4:00,2021,10,18,4:00:00,https://www.facebook.com/thesugarcaneph/videos/275793317757450/,FALSE,FALSE,NaN,1161,1895,138,81,1522,0,NaN
4.3259E+14,1E+14,SUGARCANE,"Happy birthday to our beloved lead guitarist, Frain Reyes",,Photos,0,10/30/2021 6:59,2021,10,30,6:59:00,https://www.facebook.com/thesugarcaneph/posts/pfbid021HcNQMeocT1hV2HKxxyRxgRcdNuexfkggXkJ8URFVE17sHQKyWbxEjdT4CzBaxGl,FALSE,FALSE,NaN,467,3,12,38,2,1,NaN
4.70801E+14,1E+14,SUGARCANE,"Salamat sa walang sawang suporta! Hindi man kami nakapag release ng marami last year, grabe pa rin ang suporta na natanggap namin sa inyo. Babawi kami, marami pa kayong dapat abangan! Mahal na mahal namin kayo!! ??

Happy New Year! ??",,Photos,0,1/1/2022 4:18,2022,1,1,4:18:00,https://www.facebook.com/thesugarcaneph/posts/pfbid02f6j29jjeFbWABzComyV2M8u6A7FiQX9ihvKDkLFxhgKzbEqbqQYo6gdD492AZRuUl,FALSE,FALSE,NaN,625,0,88,22,0,0,NaN
5.5936E+14,1E+14,SUGARCANE,"Congratulations to the newly weds! ?? 

Sobrang nakakataba ng puso na makitang ang musika nami?y nagiging bahagi ng mga masasayang ala-ala tulad nito. Nakakakilig! ??

Stream our songs here: thesugarcaneph.biglink.to/platforms",,Videos,0,5/20/2022 4:27,2022,5,20,4:27:00,https://www.facebook.com/thesugarcaneph/posts/pfbid08iHxV55mpLqKKDzgcyK72Qoi66xGN7PCZFgMkakUFo1poZ9ccJYUZTE9thzxFYrnl,FALSE,TRUE,NaN,140,649,0,1,0,636,NaN
5.6207E+14,1E+14,SUGARCANE,Kasalanan ba kasing mahalin ka? ??,,Photos,0,5/24/2022 2:42,2022,5,24,2:42:00,https://www.facebook.com/thesugarcaneph/posts/pfbid02VQjGoaEK2CU3h4VG5vAVhhxkvc5ysSTXNhzgMabUg6MkcYBzDPYDDdYipMeppzYbl,FALSE,TRUE,NaN,306,0,31,5,0,0,NaN
5.77569E+14,1E+14,SUGARCANE,"Thank you Warner Family! ??

We are happy to announce that we are now part of Warner Music Philippines.

We are very grateful to all of you for the unending love and support. 

Together with Warner, expect that this is just the start - more are yet to come.

Papunta pa lang tayo sa exciting part! ??

Thank you sir Kelley Mangahas, sir Rem Brofar, and to the rest of the Warner team for making this all possible. 

------ 

3 Weeks left for our next single, July 8, 2022!

Pre-save here: https://sugarcane.lnk.to/presaveparuparo

#SalamatWarner",,Photos,0,6/17/2022 4:00,2022,6,17,4:00:00,https://www.facebook.com/thesugarcaneph/posts/pfbid05MgTm9nVJSxW2AF2S9SyEEiKcHMFhV6T5XLxcEjRYHcW2CS96vuoCm8sFLQxBSb3l,FALSE,FALSE,NaN,1409,20,170,92,0,6,NaN
5.80487E+14,1E+14,SUGARCANE,"Happy birthday sa pinakamagandang babae sa SUGARCANE, Ronamae Ti?ola!! ??",,Photos,0,6/20/2022 4:09,2022,6,20,4:09:00,https://www.facebook.com/thesugarcaneph/posts/pfbid02dsxSfB2aq2fvxztUtFSHNmwBmC1uJbpGRw5K66Wk577Jvde6HXzgm5hZxE58kgPel,FALSE,FALSE,NaN,599,0,15,64,0,0,NaN
5.86666E+14,1E+14,SUGARCANE,"PRE-SAVE NOW: https://sugarcane.lnk.to/presaveparuparo

Out on all digital platforms on July 8, 2022 at 12 am!! ??

???? 
?Paruparo? is a song that mainly revolves around the concept of destiny; as it gives a more profound meaning to the famous saying, ?if it?s meant to be, it will be.? 

In this song, SUGARCANE in collaboration with an up-and-coming artist, JC Herrero, has once more utilized one of their strengths in songwriting - a captivating melody partnered with relatable lyrics for all ages in a storytelling manner.

Artwork by Felix Gasmen.",,Photos,0,6/29/2022 4:00,2022,6,29,4:00:00,https://www.facebook.com/thesugarcaneph/posts/pfbid0A3HZMxAtKG1yjRPgkBNScbPSuPCkwHBWJs1gLp19zSCMP133XwP966SoGWiwvU79l,FALSE,FALSE,NaN,691,0,124,37,0,0,NaN
5.88239E+14,1E+14,SUGARCANE,SUGARCANE - Paruparo (TEASER),"PRE-SAVE NOW: https://sugarcane.lnk.to/presaveparuparo

Out on all digital platforms on July 8, 2022 at 12 am!! ??",Videos,36,7/1/2022 3:05,2022,7,1,3:05:00,https://www.facebook.com/reel/708434383581241/,FALSE,FALSE,NaN,1354,1671,203,64,0,1449,NaN
5.89907E+14,1E+14,SUGARCANE,"Congratulations sa mga newly grads!! ??

Fun fact: ?Gunita? was initially intended to be a high school graduation song, kaya highlight talaga ng song ang memories ng isang buhay estudyante. 

Feel free to use the sound as background music for your high school/college life montages, and tag us on our social media platforms, @thesugarcaneph.

Follow niyo na rin kami sa Tiktok! ??

https://vt.tiktok.com/ZSdohNMo6/

Pre-save our latest single: https://sugarcane.lnk.to/presaveparuparo","Congratulations sa mga newly grads!! ??

Fun fact: ?Gunita? was initially intended to be a high school graduation song, kaya highlight talaga ng song ang memories ng isang buhay estudyante. 

Feel free to use the sound as background music for your high school/college life montages, and tag us on our social media platforms, @thesugarcaneph.

Follow niyo na rin kami sa Tiktok! ??

https://vt.tiktok.com/ZSdohNMo6/

Pre-save our latest single: https://sugarcane.lnk.to/presaveparuparo",Videos,64,7/3/2022 6:46,2022,7,3,6:46:00,https://www.facebook.com/reel/778331813609377/,FALSE,FALSE,NaN,1049,1393,132,27,0,116241.04,NaN
