"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1122300889256922,100044310645639,SUGARCANE,"Self-love ka naman muna, dok 

Pre-save the song here
sugarcane.lnk.to/presavelaginalang","Self-love ka naman muna, dok 

Pre-save the song here
sugarcane.lnk.to/presavelaginalang",18,"11/06/2024 02:00",N/A,https://www.facebook.com/reel/1264264918062162/,1,0,Reels,,,,,Lifetime,84732,77032,3459,2848,145,466,0,,,,485047.966,6.312,0
1122380995915578,100044310645639,SUGARCANE,"Song has been stuck in our heads that we decided to make a video ourselves! 😜💥

Stream “APT”: tinyurl.com/APTBrunoMars

@warnermusicph","Song has been stuck in our heads that we decided to make a video ourselves! 😜💥

Stream “APT”: tinyurl.com/APTBrunoMars

@warnermusicph",13,"11/06/2024 04:36",N/A,https://www.facebook.com/reel/874465828232779/,1,0,Reels,,,,,Lifetime,22912,16286,637,587,20,30,0,,,,128064.113,7.372,0
1122931942527150,100044310645639,SUGARCANE,"Back to back gigs tomorrow, folks‼️

1️⃣ School of Saint Anthony Lagro, Quezon City
SSA Student Government

We’ll be sharing the stage with Over October! 

🎟️: 500 php, walk-ins are allowed 

2️⃣ Dinalan Coffee

Stripped sessions with 
*   12th Street 
*   Dave Sison

Friendly reminders:
-   Door opens at 5:30pm
-   Floor seats and standing only
-   No parking available
-   Door Fee
*   350 php for Early birds (limited slots only)
*   450 php for Regular / Walk ins

🎟️: Dm Angel (@wruangel_ ) on instagram for inquiries and ticket reservations

PS. Isa kayo sa mga unang makakarinig live ng i-rerelease namin mamayang 12AM na single kapag pumunta kayo bukas. See you around! ❤️‍🔥",,0,"11/07/2024 00:27",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0UjT497ss5u84sxsYwvTFTCiUgW27AgNu2mLvhfaNHrynpHgUGsMfCTCQtymbZPX2l,0,0,Photos,,,,,Lifetime,11049,4487,312,273,8,31,590,303,287,,,,
1122975632522781,100044310645639,SUGARCANE,"As we count down to the release of our latest single, “Lagi Na Lang,” coming out at midnight tonight, enjoy this one final treat for our previous single, “Pagbigyan” featuring Gian Bernardino from Cup of Joe – LIVE!

⏳ Just 6 hours to go!

Presave the song here
https://sugarcane.lnk.to/presavelaginalang","As we count down to the release of our latest single, “Lagi Na Lang,” coming out at midnight tonight, enjoy this one final treat for our previous single, “Pagbigyan” featuring Gian Bernardino from Cup of Joe – LIVE!

⏳ Just 6 hours to go!

Presave the song here
https://sugarcane.lnk.to/presavelaginalang",77,"11/07/2024 02:05",mixed,https://www.facebook.com/reel/572054542073688/,1,0,Reels,,,,,Lifetime,13446,9931,727,605,14,108,0,,,,109538.371,8.899,0
1123178429169168,100044310645639,SUGARCANE,"‘𝐋𝐚𝐠𝐢 𝐍𝐚 𝐋𝐚𝐧𝐠’ 𝐨𝐮𝐭 𝐧𝐨𝐰 𝐨𝐧 𝐚𝐥𝐥 𝐝𝐢𝐠𝐢𝐭𝐚𝐥 𝐩𝐥𝐚𝐭𝐟𝐨𝐫𝐦𝐬 🪢 

sugarcane.lnk.to/laginalang

Composed by: Carl Guerzon, Froilan Bautista, Luis Beato, Cedric Angeles
Produced by: Brian Lotho, Xerxes Bakker 
Mixed by: Jay Dufour
Mastered by: João Carvalho

Warner Music Philippines 
Sarah Ismail
Kelley Mangahas 
Rem Brofar 
Celine Ferros",,0,"11/07/2024 08:07",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02M2n9ZkUNnHMSj7p2mztMEQnJBjD7VVaMugSksNvKHWrFuKgEHyasPAnHaamchdsQl,0,0,Photos,,,,,Lifetime,26257,12246,1007,845,50,112,702,530,154,18,,,
1123178815835796,100044310645639,SUGARCANE,"‘𝐋𝐚𝐠𝐢 𝐍𝐚 𝐋𝐚𝐧𝐠’ 𝐨𝐮𝐭 𝐧𝐨𝐰 𝐨𝐧 𝐚𝐥𝐥 𝐝𝐢𝐠𝐢𝐭𝐚𝐥 𝐩𝐥𝐚𝐭𝐟𝐨𝐫𝐦𝐬 🪢 
Stream here: sugarcane.lnk.to/laginalang",,0,"11/07/2024 08:08",N/A,https://www.facebook.com/photo.php?fbid=1123178815835796&set=a.228682278618792&type=3,0,0,Photos,,,,,Lifetime,31453,18813,2060,1871,79,110,1114,660,421,33,,,
1123179749169036,100044310645639,SUGARCANE,"‘𝐋𝐚𝐠𝐢 𝐍𝐚 𝐋𝐚𝐧𝐠’ 𝐨𝐮𝐭 𝐧𝐨𝐰 𝐨𝐧 𝐚𝐥𝐥 𝐝𝐢𝐠𝐢𝐭𝐚𝐥 𝐩𝐥𝐚𝐭𝐟𝐨𝐫𝐦𝐬 🪢 
Stream here: sugarcane.lnk.to/laginalang",,0,"11/07/2024 08:10",N/A,https://www.facebook.com/photo.php?fbid=1123179749169036&set=a.228682271952126&type=3,0,0,Photos,,,,,Lifetime,1022,509,243,211,9,23,11,7,4,,,,
1123494589137552,100044310645639,SUGARCANE,"Lagi Na Lang (Official Lyric Visualizer)","Watch ""Lagi Na Lang"" (Official Lyric Visualizer) here: youtu.be/Ej63qEIRnpU

Brought to you by Ten Thirty Two Lab

Production Team:
• Director: Karlo Calingao x Louis Anthony Duran
• Creative Directors: Iana Cris Forbes & Louis Anthony Duran
• Executive Producer: Iana Cris Forbes
• Director of Photography & Camera Operator: Karlo Calingao
• Photographer: Louis Anthony Duran
• Production Manager: Angelu Jane Santiago-Lagazo
• Gaffer & Camera Operator: Garren Bustarde
• Editor & Colorist: Alanshii M. Ante
• Animators: Iana Cris Forbes, Louis Anthony Duran, Karlo Calingao, Garren Bustarde, Alanshii M. Ante
• Production Design: Angelu Santiago-Lagazo
• Wardrobe & Styling: Ranque Mark
• Hairstylist: Rudolf Davilos
• Makeup: Dorothy Mamalio
• Production Assistants: Jaybert Oliman Rima, Salvador Harold, Lorenzo Markus Bolaños
• Location Manager: Markus Bolaños

Special Thanks to Billy Bolanos, Maricel Lorenzo Bolanos, and their family for their warm hospitality.

Overall Direction by Rem Brofar",22,"11/07/2024 19:28",N/A,https://www.facebook.com/thesugarcaneph/videos/557470216878713/,0,0,Videos,,,,,Lifetime,10766,9711,635,521,20,94,250,237,,13,46819.595,5.061,0.08
1123594135794264,100044310645639,SUGARCANE,"We got nominated on AWIT AWARDS 😭

Appreciate the support, see you around folks! 🧎🏻‍♀️",,0,"11/07/2024 22:58",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02e34D7H88jDvnELfKESvZHQpe36Co1rWWwbG8VXPLyrxiL8efh5JM3dS5atr5Nq4ml,0,0,Photos,,,,,Lifetime,5357,2904,235,203,13,19,250,110,140,,,,
1124287562391588,100044310645639,SUGARCANE,"Ilang taon narin ang siyang nagdaan,
Nangangapa parin kung san nagkulang...",,0,"11/08/2024 22:06",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0NdVxUGnJEwqVx7kbv48voZ7wM6fTTDSoWVYuNgvzSY8TuRm3ntgvBCt2FPfTLr1Rl,0,0,Text,,,,,Lifetime,20231,10439,627,556,26,45,606,606,,,,,
1124290322391312,100044310645639,SUGARCANE,"Suko na po ako boss

Stream the song here: sugarcane.lnk.to/laginalang","Suko na po ako boss

Stream the song here: sugarcane.lnk.to/laginalang",19,"11/08/2024 22:12",N/A,https://www.facebook.com/reel/956836469595230/,1,0,Reels,,,,,Lifetime,79474,74047,3759,3213,73,473,0,,,,524155.301,7.232,0
