"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",Views,"Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Negative feedback from users: Hide all","Negative feedback from users: Hide","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1077170883769923,100044310645639,SUGARCANE,"Online muna habang maulan... next time sa tapat naman ng bahay nyo 🤩🤝","Online muna habang maulan... next time sa tapat naman ng bahay nyo 🤩🤝

Stream ""Pagbigyan"" here: sugarcane.lnk.to/pagbigyan",60,"09/04/2024 03:13",uploaded,https://www.facebook.com/thesugarcaneph/videos/532077102689293/,0,0,Videos,,,,,Lifetime,,5885,585,515,43,27,755,,755,,,5885,0,4074,0,3304,0,0,4074,,,79251.923,9.511,0.05
1120942692726075,100044310645639,SUGARCANE,"Bakit lagi syang nakangiti pag tumatawag shopee 😭

Pre-save the song here
https://sugarcane.lnk.to/presavelaginalang","Bakit lagi syang nakangiti pag tumatawag shopee 😭

Pre-save the song here
https://sugarcane.lnk.to/presavelaginalang",18,"11/04/2024 01:54",N/A,https://www.facebook.com/reel/8454296358014054/,1,0,Reels,,,,,Lifetime,0,110283,3598,3356,34,208,0,,,,0,110283,0,,,,,0,73030,,,982202.616,9.339,0
1120807579406253,100044310645639,SUGARCANE,"Palitan mo na battery mo 😤

Pre-save the song here: sugarcane.lnk.to/presavelaginalang","Palitan mo na battery mo 😤

Pre-save the song here: sugarcane.lnk.to/presavelaginalang",18,"11/03/2024 20:35",N/A,https://www.facebook.com/reel/3398758747094976/,1,0,Reels,,,,,Lifetime,0,5775,219,195,10,14,0,,,,0,5775,0,,,,,0,3111,,,26736.269,4.951,0
1120268692793475,100044310645639,SUGARCANE,"Huling sulyap mo manlang beh pantanggal angas lang 😎

Pre-save here: sugarcane.lnk.to/presavelaginalang","Huling sulyap mo manlang beh pantanggal angas lang 😎

Pre-save here: sugarcane.lnk.to/presavelaginalang",20,"11/03/2024 01:44",N/A,https://www.facebook.com/reel/539531415519994/,1,0,Reels,,,,,Lifetime,0,7573,298,266,9,23,0,,,,0,7573,0,,,,,0,4131,,,41962.829,6.061,0
1120180436135634,100044310645639,SUGARCANE,"Big thanks to All-Out Sundays for having “Leonora” on the show! Loved seeing it performed by such amazing actors. Appreciate the love! ❤️‍🔥","Big thanks to @[100067402864836:2048:All-Out Sundays] for having “Leonora” on the show! Loved seeing it performed by such amazing actors. Appreciate the love! ❤️‍🔥",223,"11/02/2024 23:27",N/A,https://www.facebook.com/thesugarcaneph/videos/1761520918011206/,0,0,Videos,,,,,Lifetime,0,23154,866,804,28,34,1138,,1137,1,0,23154,0,9368,901,8658,883,0,9368,,,217787.026,10.765,0.08
1120079952812349,100044310645639,SUGARCANE,"Babalikan ka raw niya pag na pre-save mo na new single namin 🤭

Presave now through the link in our bio!","Babalikan ka raw niya pag na pre-save mo na new single namin 🤭

Presave now through the link in our bio!",29,"11/02/2024 19:50",mixed,https://www.facebook.com/reel/527288036965146/,1,0,Reels,,,,,Lifetime,0,5835,368,332,17,19,0,,,,0,5835,0,,,,,0,3380,,,39367.06,6.978,0
1119630226190655,100044310645639,SUGARCANE,"""Lagi Na Lang"" drops next Friday, November 8, at 12AM! 🎶

Presave now: 
https://sugarcane.lnk.to/presavelaginalang",,0,"11/02/2024 04:37",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid032CEwPWV3d3VfYVJDAJgdwkQ3dZ3SRHty8tqyTzdJYxoKaAk1vrjKmXDKnZNqPhhPl,0,0,Photos,,,,,Lifetime,0,20298,1410,1171,72,167,933,225,683,25,0,20298,0,0,0,0,0,0,0,,,,,
1118778112942533,100044310645639,SUGARCANE,"Coffee date tayo, g? ☕️

🗓 November 8, 2024
📍Dinalan Coffee
🎟 DM @wruangel_ on Instagram 

See you there, folks!!",,0,"11/01/2024 00:29",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid027gNTXsHbYxpc1rj6xv7PUfj1TftST5n8vxMGNiNb2AK3erUqKaJcQj7NamrQAejol,0,0,Photos,,,,,Lifetime,0,4039,252,226,11,15,400,77,323,,0,4039,0,0,0,0,0,0,0,,,,,
1118269329660078,100044310645639,SUGARCANE,"Happy Birthday to our lead guitarist and brother, we are always grateful to have you! We labyu brodie! ❤️

(insert carl and rona)",,0,"10/31/2024 07:21",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02uM3TFwEXTm84Rj1Mt4JNnZSF11VopjFdx898D3aCyReZXCfcuUr9pTuVy3u5Thhcl,0,0,Photos,,,,,Lifetime,0,6317,694,600,80,14,443,89,354,,0,6317,0,0,0,0,0,0,0,,,,,
1118189926334685,100044310645639,SUGARCANE,"Happy Halloween, folks!! 🎃👻

Sakto, sa November 8 magkakaroon ka na ng soundtrip para sa mga “lagi na lang” mo sa buhay 💥

Pre-save mo na puhleaze
sugarcane.lnk.to/presavelaginalang",,0,"10/31/2024 05:09",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02iW6u81MYpbNcPCdhgY15c1h2R8s3T6jzuw9y3PB8zTZmJ4FUJVV54BXiMdrezmVCl,0,0,Photos,,,,,Lifetime,0,15103,1406,1259,53,94,975,292,652,31,0,15103,0,0,0,0,0,0,0,,,,,
