date,listeners,streams,followers
2023-01-01,8313,12912,31082
2023-01-02,9823,15527,31176
2023-01-03,10802,16926,31322
2023-01-04,10241,15962,31432
2023-01-05,10589,16334,31540
2023-01-06,10595,16145,31658
2023-01-07,10869,16979,31774
2023-01-08,10995,16996,31887
2023-01-09,11225,17512,31986
2023-01-10,11809,18065,32069
2023-01-11,12296,18483,32161
2023-01-12,12514,18988,32262
2023-01-13,12152,18427,32380
2023-01-14,13195,20516,32476
2023-01-15,13570,21314,32593
2023-01-16,14078,21986,32703
2023-01-17,13873,21736,32805
2023-01-18,14010,22108,32930
2023-01-19,15469,23883,33051
2023-01-20,14508,22739,33159
2023-01-21,14963,23779,33311
2023-01-22,14951,24039,33469
2023-01-23,14110,22673,33601
2023-01-24,14523,22699,33712
2023-01-25,14271,22603,33827
2023-01-26,14568,22522,33935
2023-01-27,13998,21874,34057
2023-01-28,14729,22244,34203
2023-01-29,15619,23786,34330
2023-01-30,14171,22328,34432
2023-01-31,14197,22191,34565
2023-02-01,13689,20873,34717
2023-02-02,13567,21180,34868
2023-02-03,13194,20236,34969
2023-02-04,13646,20932,35133
2023-02-05,13774,21144,35279
2023-02-06,14021,21568,35414
2023-02-07,14117,22022,35553
2023-02-08,14386,22283,35678
2023-02-09,14579,22795,35814
2023-02-10,14635,23175,35959
2023-02-11,14632,23087,36127
2023-02-12,15015,23402,36257
2023-02-13,14787,23332,36363
2023-02-14,14245,22330,36445
2023-02-15,16015,24518,36559
2023-02-16,14827,22867,36670
2023-02-17,13881,21727,36810
2023-02-18,14244,21843,36953
2023-02-19,15373,24272,37119
2023-02-20,14371,22561,37230
2023-02-21,14278,22659,37368
2023-02-22,14736,22815,37505
2023-02-23,13801,21322,37632
2023-02-24,16543,24773,37794
2023-02-25,15614,23982,37967
2023-02-26,16123,25010,38117
2023-02-27,14475,22122,38241
2023-02-28,17482,27797,38410
2023-03-01,17793,28949,38571
2023-03-02,17727,28684,38746
2023-03-03,16431,26440,38915
2023-03-04,17107,27209,39160
2023-03-05,18053,29063,39372
2023-03-06,18267,29421,39581
2023-03-07,17945,28818,39790
2023-03-08,17434,28166,39974
2023-03-09,17542,28107,40143
2023-03-10,16149,25857,40323
2023-03-11,16863,26484,40524
2023-03-12,18073,28446,40739
2023-03-13,15936,25862,40893
2023-03-14,16481,26326,41063
2023-03-15,16550,26286,41230
2023-03-16,17294,27002,41409
2023-03-17,17771,27965,41588
2023-03-18,20628,32738,41825
2023-03-19,22370,35690,42043
2023-03-20,21281,34101,42257
2023-03-21,20349,32566,42424
2023-03-22,21966,34770,42621
2023-03-23,23467,36067,42832
2023-03-24,23983,36090,43052
2023-03-25,22123,34640,43291
2023-03-26,22789,35500,43525
2023-03-27,23418,35887,43720
2023-03-28,24378,37471,43948
2023-03-29,23686,36456,44152
2023-03-30,24172,38041,44389
2023-03-31,24130,40057,44631
2023-04-01,24833,39904,44877
2023-04-02,25560,41842,45096
2023-04-03,24852,41052,45278
2023-04-04,25592,40959,45503
2023-04-05,27229,41931,45732
2023-04-06,22419,35980,46027
2023-04-07,21728,34886,46291
2023-04-08,24274,38583,46519
2023-04-09,24776,39402,46775
2023-04-10,29397,48508,47389
2023-04-11,31238,60460,48227
2023-04-12,32890,67049,49092
2023-04-13,36099,74698,50074
2023-04-14,34062,70184,50921
2023-04-15,42038,89188,53279
2023-04-16,48690,114845,55565
2023-04-17,47299,105820,56669
2023-04-18,47747,108159,57653
2023-04-19,51591,111280,58558
2023-04-20,51828,109474,59593
2023-04-21,60353,127862,60949
2023-04-22,61374,126109,62097
2023-04-23,63419,135300,63199
2023-04-24,59403,123910,63991
2023-04-25,62372,128592,64855
2023-04-26,63334,130526,65698
2023-04-27,69701,139503,66583
2023-04-28,80462,160565,67799
2023-04-29,91185,188465,69744
2023-04-30,86822,180504,71154
2023-05-01,91757,193551,72370
2023-05-02,85571,175196,73308
2023-05-03,92605,181027,74191
2023-05-04,99132,186556,75063
2023-05-05,96372,176920,75848
2023-05-06,101355,185103,76772
2023-05-07,103887,191666,77595
2023-05-08,96881,173693,78202
2023-05-09,96144,171901,78832
2023-05-10,98709,174951,79476
2023-05-11,101905,181451,80202
2023-05-12,104096,181808,80924
2023-05-13,109112,192811,81815
2023-05-14,116186,210731,82586
2023-05-15,111190,198235,83237
2023-05-16,113739,203033,84001
2023-05-17,122193,210429,84709
2023-05-18,128627,216228,85350
2023-05-19,127608,209848,86015
2023-05-20,135935,223967,86839
2023-05-21,134663,224817,87566
2023-05-22,128307,210288,88104
2023-05-23,132761,216580,88678
2023-05-24,134456,217135,89196
2023-05-25,138261,224345,89772
2023-05-26,137123,219391,90368
2023-05-27,146734,233791,91134
2023-05-28,142171,231964,91850
2023-05-29,142212,228871,92510
2023-05-30,141659,227170,93166
2023-05-31,140089,223959,93748
2023-06-01,144697,227745,94479
2023-06-02,142777,221357,95165
2023-06-03,149939,234528,95964
2023-06-04,153400,241231,96770
2023-06-05,149120,230896,97361
2023-06-06,146968,224119,98044
2023-06-07,151720,230559,98617
2023-06-08,151886,232580,99196
2023-06-09,161347,241068,99842
2023-06-10,172791,257820,100586
2023-06-11,173568,258060,101333
2023-06-12,175404,267564,102144
2023-06-13,167689,250836,102816
2023-06-14,166435,251261,103467
2023-06-15,168536,255898,104140
2023-06-16,167085,251801,104888
2023-06-17,180369,280050,105819
2023-06-18,179336,279287,106705
2023-06-19,173880,268285,107479
2023-06-20,178953,277810,108209
2023-06-21,180054,276155,108895
2023-06-22,184715,279958,109628
2023-06-23,184043,276171,110412
2023-06-24,185684,280922,111263
2023-06-25,183147,280604,112133
2023-06-26,176811,267690,112897
2023-06-27,181091,271369,113579
2023-06-28,187147,286618,114440
2023-06-29,173012,260397,115105
2023-06-30,174855,256391,115693
2023-07-01,174217,257282,116445
2023-07-02,172599,258864,117229
2023-07-03,174137,260382,117990
2023-07-04,177762,268095,118781
2023-07-05,179219,267763,119609
2023-07-06,179173,268332,120483
2023-07-07,171457,253519,121457
2023-07-08,188031,275128,122388
2023-07-09,177614,263507,123284
2023-07-10,178544,267222,124101
2023-07-11,173934,262241,124959
2023-07-12,169427,255723,125736
2023-07-13,177814,265354,126635
2023-07-14,187640,276565,127588
2023-07-15,183477,272473,128524
2023-07-16,183250,272631,129459
2023-07-17,194783,289568,130548
2023-07-18,220759,317247,131529
2023-07-19,204406,301758,132539
2023-07-20,198072,293275,133537
2023-07-21,190904,282495,134427
2023-07-22,187606,274174,135319
2023-07-23,178944,263203,136178
2023-07-24,193435,284394,137086
2023-07-25,195950,283483,137931
2023-07-26,201826,290844,138788
2023-07-27,197472,286961,139653
2023-07-28,192933,277646,140436
2023-07-29,194752,280212,141277
2023-07-30,187439,271372,142087
2023-07-31,198866,288189,142850
2023-08-01,196260,282159,143631
2023-08-02,201379,289123,144465
2023-08-03,210441,301050,145307
2023-08-04,212213,304228,146153
2023-08-05,207109,296689,146913
2023-08-06,201268,289992,147723
2023-08-07,209776,303059,148520
2023-08-08,210129,302461,149331
2023-08-09,204587,296918,150125
2023-08-10,212273,301607,150869
2023-08-11,203489,291467,151683
2023-08-12,200928,286965,152457
2023-08-13,196660,281349,153158
2023-08-14,212590,300092,153911
2023-08-15,203615,289497,154652
2023-08-16,195538,279769,155406
2023-08-17,196956,280858,156067
2023-08-18,190612,271152,156792
2023-08-19,194027,273390,157504
2023-08-20,183668,260271,158269
2023-08-21,197794,281970,158992
2023-08-22,193683,272952,159687
2023-08-23,194261,274576,160340
2023-08-24,190458,268823,160931
2023-08-25,180576,256857,161575
2023-08-26,185164,261079,162272
2023-08-27,181643,255717,162991
2023-08-28,193679,273589,163639
2023-08-29,167523,235108,164092
2023-08-30,174042,244256,164577
2023-08-31,177605,249905,165119
