song,listeners,streams,saves,release_date
"Leonora",0,147271614,0,2023-03-31
"Kung Maging Akin Ka",0,30528694,0,2021-02-13
"Paruparo",0,19633670,0,2022-07-08
"Tanging Ikaw",0,17215577,0,2025-01-31
"Paalam, Leonora",0,12382421,0,2023-04-28
"Gunita",0,10491792,0,2020-07-04
"Dalangin",0,6610848,0,2021-07-31
"Maria Clara",0,3542129,0,2024-03-08
"Gabi",0,2736790,0,2020-01-24
"Bituin",0,2556841,0,2019-07-21
"Sinehan",0,2524881,0,2023-09-22
"Set You Free",0,2235932,0,2023-11-24
"Reside",0,1732684,0,2020-12-09
"Pagbigyan",0,1331076,0,2024-07-26
"Lagi Na Lang",0,913222,0,2024-11-08
"Aking Maria Clara (feat. jikamarie)",0,413891,0,2024-05-24
"Please",0,402313,0,2025-10-03
"Tanging Ikaw - Harana Version",0,312292,0,2025-07-04
