tiktok_video_id,content_link,video_title,publish_day,publish_month,publish_year,duration,likes,shares,comments_added,views,saves,sound_used,post_type,,,,,,
tkvid_101,https:::www.tiktok.com:@thesugarcaneph:video:6969924669679979778?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,di na kita love,4,6,2021,0:01:04,72,0,7,1905,4,Original Sound,video,,,,,,
tkvid_102,https:::www.tiktok.com:@thesugarcaneph:video:6971772085727169793?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,gabi - sugarcane,9,6,2021,0:01:04,305,14,19,7145,14,Original Sound,video  ,,,,,,
tkvid_103,https:::www.tiktok.com:@thesugarcaneph:video:6986591173901110555?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Gabi (with flute) by Sugarcane,19,7,2021,0:01:04,109,10,7,2952,5,Original Sound,video  ,,,,,,
tkvid_104,https:::www.tiktok.com:@thesugarcaneph:video:6988459311492074778?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Sugarcane - Dalangin (Teaser),24,7,2021,0:00:31,195,14,18,6084,15,Original Sound,video  ,,,,,,
tkvid_105,https:::www.tiktok.com:@thesugarcaneph:video:6990679212877188379?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Sugarcane - Dalangin (Teaser 2),30,7,2021,0:00:26,160,11,6,5221,13,Original Sound,video  ,,,,,,
tkvid_106,https:::www.tiktok.com:@thesugarcaneph:video:6991085835084975386?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Sugarane - Dalangin OUT NOW!!!,31,7,2021,0:00:24,117,6,8,3084,7,Original Sound,video  ,,,,,,
tkvid_107,https:::www.tiktok.com:@thesugarcaneph:video:7016913119712709915?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Versace on the Floor - Solo Section,9,10,2021,0:00:33,76,1,0,2490,7,Original Sound,video,,,,,,
tkvid_108,https:::www.tiktok.com:@thesugarcaneph:video:7078558747471121690?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"SugarCane - Gabi (Guitar Fingerstyle by Frain Reyes, lead guitarist)",24,3,2022,0:02:33,225,16,18,8244,13,Original Sound,video,,,,,,
tkvid_109,https:::www.tiktok.com:@thesugarcaneph:video:7080109149446540570?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - Bituin (Lead Guitar playthrough by @frainskie),28,3,2022,0:01:26,309,18,23,5530,9,Original Sound,video,,,,,,
tkvid_110,https:::www.tiktok.com:@thesugarcaneph:video:7081533917395766555?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE ft. Angel - Reside (Lead Guitar Playthrough by @frainskie),1,4,2022,0:00:42,249,20,19,4060,10,Original Sound,video,,,,,,
tkvid_111,https:::www.tiktok.com:@thesugarcaneph:video:7082346062983335194?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - Kung Maging Akin Ka (Lead Guitar Playthrough by  @frainskie),3,4,2022,0:00:39,326,27,19,6177,47,Original Sound,video,,,,,,
tkvid_112,https:::www.tiktok.com:@thesugarcaneph:video:7084496633400003867?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - Gabi,9,4,2022,0:00:31,213,21,7,5075,23,Original Sound,video,,,,,,
tkvid_113,https:::www.tiktok.com:@thesugarcaneph:video:7084866707214388506?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - Star,10,4,2022,0:00:30,246,45,21,6033,25,Original Sound,video,,,,,,
tkvid_114,https:::www.tiktok.com:@thesugarcaneph:video:7092311245730172187?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Gunita - SUGARCANE,30,4,2022,0:00:27,154,17,10,4375,10,Original Sound,video,,,,,,
tkvid_115,https:::www.tiktok.com:@thesugarcaneph:video:7094559568570731802?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,If You Be Mine - SUGARCANE,6,5,2022,0:00:32,179,35,11,5699,18,Original Sound,video,,,,,,
tkvid_116,https:::www.tiktok.com:@thesugarcaneph:video:7095238959231421723?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - Reside,8,5,2022,0:00:30,171,26,4,4598,12,Original Sound,video,,,,,,
tkvid_117,https:::www.tiktok.com:@thesugarcaneph:video:7095662347330587930?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Dalangin - SUGARCANE,9,5,2022,0:00:31,266,30,9,7888,23,Original Sound,video,,,,,,
tkvid_118,https:::www.tiktok.com:@thesugarcaneph:video:7115357675344514330?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"PRE-SAVE NOW: https:::sugarcane.lnk.to:presaveparuparo Out on all digital platforms on July 8, 2022 at 12 am!!",1,7,2022,0:00:35,229,23,11,4425,17,Original Sound,video,,,,,,
tkvid_119,https:::www.tiktok.com:@thesugarcaneph:video:7116102590005316891?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Gunita by SUGARCANE 🎶 Use the sound as bg music sa mga school life montages nyo ❤️🎓,3,7,2022,0:01:03,500,34,26,16000,62,Original Sound,video,,,,,,
tkvid_120,https:::www.tiktok.com:@thesugarcaneph:video:7117672153796939035?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,PARUPARO OUT NOW!!!,8,7,2022,0:00:08,288,17,20,8074,14,Paruparo,video,,,,,,
tkvid_121,https:::www.tiktok.com:@thesugarcaneph:video:7119109875627592986?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"SUGARCANE’s first ever Music Video will be out on July 16, 8PM 🦋 Stream “Paruparo” here: sugarcane.lnk.to:paruparo",11,7,2022,0:00:16,1003,41,13,50400,80,Original Sound,video,,,,,,
