Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Average views per viewer,New viewers,Subscribers gained,Subscribers lost,Likes,Shares,Comments added,Views,Watch time (hours),Average view duration
hOf7m31ZvgQ,SUGARCANE - Leonora (Official Lyric Video),30-Mar-23,235,191598507,8.14,,,50642,1166,139365,226724,2817,36513253,1985592.122,0:03:15
e_my_QCalLI,SUGARCANE - Leonora (Official Music Video),14-Apr-23,298,122648350,5.85,,,45223,869,121705,46044,2462,13935088,797371.135,0:03:25
GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,18724150,7.62,,,10067,177,32034,22462,773,2956969,160882.5557,0:03:15
gsYQX9lDkBw,SUGARCANE - Kung Maging Akin Ka (Official Lyric Video),13-Feb-21,254,14740985,7.95,,,6879,111,19155,27744,837,2891517,167984.1115,0:03:29
JmwJUB5TEbo,SUGARCANE - Leonora (Lyrics),13-Dec-23,232,13724747,9.45,,,0,0,7160,14949,177,2733533,140982.2018,0:03:05
Rw8x2trAZZ0,SUGARCANE - Dalangin (Official Lyrics & Chords),31-Jul-21,343,12141725,8,,,7210,113,17089,19228,552,2149921,152970.1698,0:04:16
EBqRQKbJA9g,"SUGARCANE, JC Herrero - Paruparo (Official Lyrics & Chords)",7-Jul-22,297,9399638,8.68,,,5045,66,11520,19674,368,1578276,98156.315,0:03:43
xQDZ4SjYVkk,SUGARCANE - Gunita (Official Lyric Video),5-Jul-20,332,8400601,8.22,,,5201,71,13738,15330,645,1518975,105761.6888,0:04:10
MrDnh6CACCk,"SUGARCANE, JC Herrero - Paruparo (Official Music Video)",16-Jul-22,304,7434792,7.74,,,6128,87,18570,7476,703,930504,44966.6751,0:02:53
_pOmGWTmuek,Leonora,30-Mar-23,235,6141837,5.91,,,23,0,47236,13223,181,6793812,327186.5992,0:02:53
BUxdzinLdLM,"SUGARCANE, Angelica Gantang - Sinehan (Official Music Video)",24-Sep-23,217,4850453,7,,,3282,42,15270,3466,594,508718,17953.5511,0:02:07
fZOMwXxQmqs,SUGARCANE - Maria Clara (Official Lyric Video),7-Mar-24,274,4201973,7.52,,,2302,37,9596,8385,353,643878,35279.3764,0:03:17
rehKbRxoxTo,SUGARCANE - Maria Clara (Official Music Video),22-Mar-24,278,3237013,7.04,,,2305,60,8651,3298,247,571957,27261.3604,0:02:51
