Content,Video title,Video publish time,Duration,Views,Watch time (hours),Average view duration,Unique viewers
Total,,,,87740116,4659789.8381,0:03:11,0
hOf7m31ZvgQ,SUGARCANE - Leonora (Official Lyric Video),"Mar 30, 2023",235,35877050,1951894.214,0:03:15,
e_my_QCalLI,SUGARCANE - Leonora (Official Music Video),"Apr 14, 2023",298,13761633,787386.0495,0:03:25,
_pOmGWTmuek,Leonora,"Mar 30, 2023",235,6688982,322348.4027,0:02:53,
GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)","Apr 27, 2023",264,2925940,159165.4948,0:03:15,
gsYQX9lDkBw,SUGARCANE - Kung Maging Akin Ka (Official Lyric Video),"Feb 13, 2021",254,2840751,165104.4464,0:03:29,
JmwJUB5TEbo,SUGARCANE - Leonora (Lyrics),"Dec 13, 2023",232,2694245,139064.1125,0:03:05,
Rw8x2trAZZ0,SUGARCANE - Dalangin (Official Lyrics & Chords),"Jul 31, 2021",343,2129672,151523.9733,0:04:16,
EBqRQKbJA9g,"SUGARCANE, JC Herrero - Paruparo (Official Lyrics & Chords)","Jul 7, 2022",297,1557209,96888.2669,0:03:43,
zUI2DdV2anI,Kung Maging Akin Ka,"Mar 10, 2022",254,1528140,78035.7015,0:03:03,
xQDZ4SjYVkk,SUGARCANE - Gunita (Official Lyric Video),"Jul 5, 2020",332,1514905,105312.601,0:04:10,
KFG4be-m_LU,"Paalam, Leonora","Apr 27, 2023",260,1309506,66336.8344,0:03:02,
_GdOhSZNlMU,Paruparo,"Jul 7, 2022",297,1105306,63202.7909,0:03:25,
vkHm5QbiocA,SUGARCANE - Tanging Ikaw (Official Lyric Visualizer),"Jan 30, 2025",183,1018337,32191.6316,0:01:53,
MrDnh6CACCk,"SUGARCANE, JC Herrero - Paruparo (Official Music Video)","Jul 16, 2022",304,924350,44585.1534,0:02:53,
YkKJclV7viE,Dalangin,"Mar 10, 2022",342,849200,54786.1884,0:03:52,
fZOMwXxQmqs,SUGARCANE - Maria Clara (Official Lyric Video),"Mar 7, 2024",274,632036,34618.552,0:03:17,
k6KDDSfzNlY,SUGARCANE - Gabi (Official Lyric Video),"Feb 1, 2020",226,568726,24929.4847,0:02:37,
rehKbRxoxTo,SUGARCANE - Maria Clara (Official Music Video),"Mar 22, 2024",278,563606,26838.9678,0:02:51,
keG9p9k3Ff8,SUGARCANE - Leonora (Official Instrumental/Karaoke),"Apr 22, 2023",231,515592,17422.1564,0:02:01,
BUxdzinLdLM,"SUGARCANE, Angelica Gantang - Sinehan (Official Music Video)","Sep 24, 2023",217,506023,17830.4413,0:02:06,
Ni8gOu4a7Yg,Leonora,"Apr 27, 2023",235,471271,21686.883,0:02:45,
akq03K3qGPQ,Leonora (Lyrics) - Sugarcane,"Jul 24, 2023",232,434248,20366.7672,0:02:48,
ipnJvVYChjI,Gunita,"Mar 10, 2022",329,399457,25600.2608,0:03:50,
-57OVjteEQw,Maria Clara,"Mar 7, 2024",274,394532,19498.2513,0:02:57,
0OxubinizpE,Sugarcane - Leonora - We Play Here Live,"Jun 9, 2023",250,318684,17325.2907,0:03:15,
QJwvcxLo82w,Tanging Ikaw,"Jan 30, 2025",177,315794,10894.92,0:02:04,
AjgbJeYUEhU,SUGARCANE - Bituin (Official Lyric Video),"Jul 25, 2019",199,296128,12921.106,0:02:37,
GP3nyBDsQaI,Leonora   Sugarcane (Lyrics),"Aug 4, 2023",233,287609,13884.9576,0:02:53,
5HLxd7bUmAc,Paruparo DA YT,,16,248427,1028.6084,0:00:14,
AQF2wFy8cVc,SUGARCANE - Leonora (Official Guitar Chords),"Apr 20, 2023",237,210873,6037.8536,0:01:43,
2QMGl988H1s,Leonora - Sugarcane (karaoke version),"Aug 1, 2023",239,206056,8302.744,0:02:25,
a3J1bDtNyU8,SUGARCANE - Reside [ft. Angel] (Official Lyric Video),"Dec 20, 2020",279,191031,10979.7002,0:03:26,
GxcI0T4-hi8,Lagi Na Lang,"Nov 7, 2024",250,180336,8687.4399,0:02:53,
CS7q0VYV07s,Bituin,"Mar 10, 2022",200,176822,6914.1293,0:02:20,
ft-igC9DZR4,Leonora YT Dark Ads,,16,175319,726.1724,0:00:14,
MJPyA1rAqPc,LOOK HOW GENTLE ANDRES WHEN IT COMES TO HIS GIRLFRIEND 🤭👀#ashdres,"Apr 27, 2025",29,170621,597.1104,0:00:22,
EQxz6zL9RFI,SUGARCANE - Leonora (Official Flute Notes),"Apr 30, 2023",231,170330,5272.9684,0:01:51,
O-JAsd-bbpk,Sinehan,"Sep 21, 2023",198,162894,6335.9323,0:02:20,
qr0328PpRGQ,Set You Free,"Nov 23, 2023",278,153671,8548.1543,0:03:20,
Ej63qEIRnpU,SUGARCANE - Lagi Na Lang (Official Lyric Visualizer),"Nov 7, 2024",250,150874,8014.3548,0:03:11,
xnCMG6TMnNQ,Gabi,"Mar 10, 2022",226,146610,6395.9113,0:02:37,
2AB-Jmon_mQ,"SUGARCANE, Angelica Gantang - Sinehan (Official Lyric Video)","Sep 21, 2023",197,144248,6569.649,0:02:43,
i-cNT3faArE,Aking Maria Clara (feat. jikamarie),"May 23, 2024",255,139737,6575.9087,0:02:49,
Mlx4aXDEXBg,SUGARCANE- LEONORA (LYRICS),"Oct 2, 2023",230,100716,4662.0491,0:02:46,
02VmufsqSck,Reside,"Mar 10, 2022",279,90081,4827.2714,0:03:12,
2gztejvb-YQ,SUGARCANE - Set You Free (Official Audio),"Nov 23, 2023",278,85866,5050.1926,0:03:31,
0aHejc51-cU,I LOVE THIS OFF CAM MOMENTS OF ASHDRES🤭🫶👀THEY ARE SO NATURAL AND REAL‼️#ashdres,"Apr 6, 2025",36,78690,298.3971,0:00:23,
SPe1-l05MlE,Gunita - Sugarcane (lyrics) | MALyrics,"Sep 18, 2021",330,77054,4474.504,0:03:29,
NQBRpBlCzvE,SUGARCANE feat. Jikamarie - Aking Maria Clara (Official Lyric Visualizer),"May 23, 2024",251,69819,3120.5617,0:02:40,
9E7W7HyCllQ,Pagbigyan,"Jul 25, 2024",285,69328,3802.4008,0:03:17,
NvLyyyuB8Yc,Sugarcane - Pagbigyan (Official Music Video),"Jul 26, 2024",290,67318,3288.5505,0:02:55,
1cnvopHH5vo,"SUGARCANE - Paalam, Leonora (Official Guitar Chords)","Jun 23, 2023",260,64066,2257.3057,0:02:06,
5sDcsv9PzBk,Leonora - Sugarcane (Lyrics) #leonora #lyrics #sugarcane  #opm,"Jul 16, 2023",230,61946,3038.0111,0:02:56,
WBKEoCpr33o,SUGARCANE - Paruparo (Official Instrumental/Karaoke),"Jul 23, 2022",297,60452,2367.9261,0:02:21,
ian-_SiH3-o,FranSeth super comfy na talaga sa isa't isa 💙 Francine Diaz | Seth Fedelin,"Oct 3, 2023",16,55299,272.2166,0:00:18,
mu9D2TJG7C8,SUGARCANE - Dalangin (Official Instrumental/Karaoke),"Aug 1, 2021",342,54703,1866.9337,0:02:02,
_PnBjv7uv3s,SUGARCANE - Kung Maging Akin Ka (Official Instrumental/Karaoke),"Jul 30, 2021",254,49787,1924.3761,0:02:19,
8ypKTFiLoXY,SUGARCANE/LEONORA,"Aug 28, 2023",232,46426,2091.9817,0:02:42,
HrlouUIBk2M,SUGARCANE - Leonora (starring Klay and Fidel of Maria Clara at Ibarra) FMV,"Jun 24, 2023",240,43319,1743.2503,0:02:24,
bOfg_TvuqqY,Leonora (Live at The Cozy Cove) https://youtu.be/bgGNtj2ubcM,"Jun 22, 2023",58,41967,412.9517,0:00:36,
5Jp6BaWEYD8,Sugarcane - Pagbigyan (Official Lyric Video),"Sep 7, 2024",285,33632,1862.4345,0:03:19,
41B8yFFn3pY,MY FOREVER LANGGA 🥰,"Mar 20, 2025",4,30518,136.0007,0:00:22,
8KRTmSyW0sI,Paruparo (lyrics) Sugarcane & JC Herrero,"Nov 26, 2022",302,30274,1698.8122,0:03:22,
zEipacYBckY,"Paalam, Leonora | Sugarcane (Lyrics)","Jul 20, 2023",266,30260,1572.3589,0:03:07,
5yzQnL0cDk0,SUGARCANE - Gunita (Official Instrumental/Karaoke),"Jul 25, 2020",329,29359,1233.8244,0:02:31,
LAo4KBYreu4,Kung maging akin ka (lyrics) - Sugarcane,"Dec 11, 2022",255,29026,1414.2437,0:02:55,
uT7VxKrKTi0,SUGARCANE - Paruparo (Official Guitar Chords),"Jul 20, 2022",299,26979,1240.2226,0:02:45,
gYj6SadNK8Y,SUGARCANE - Leonora (Lead Guitar Playthrough),"May 3, 2023",42,25696,219.2709,0:00:30,
NALK8z36zYg,Maria Clara At Ibarra - Leonora | Clarisostomo FMV,"Jul 3, 2023",223,25258,728.3057,0:01:43,
NrYdEJbfBGI,"Happy 1st anniversary, langga 🥰","Mar 12, 2025",5,24904,84.1011,0:00:12,
lUIQWNk_djg,Uhaw - Dilaw #fypmusic #dilaw #uhaw #uhawtayonglahat,"Mar 13, 2023",61,24261,251.2039,0:00:37,
_67ogpekd-4,Leonora (MV) | Official Trailer | 04-14-23 | 8PM,"Apr 12, 2023",16,24175,77.506,0:00:11,
