Date,Views
2020-06-10,3342
2020-06-11,3143
2020-06-12,2954
2020-06-13,3281
2020-06-14,3422
2020-06-15,3884
2020-06-16,3316
2020-06-17,3448
2020-06-18,3023
2020-06-19,3078
2020-06-20,2763
2020-06-21,2527
2020-06-22,2283
2020-06-23,2315
2020-06-24,2147
2020-06-25,1876
2020-06-26,1901
2020-06-27,1641
2020-06-28,1762
2020-06-29,1659
2020-06-30,1913
2020-07-01,1541
2020-07-02,1342
2020-07-03,1271
2020-07-04,1909
2020-07-05,3224
2020-07-06,2468
2020-07-07,2081
2020-07-08,2163
2020-07-09,1922
2020-07-10,1696
2020-07-11,2108
2020-07-12,1725
2020-07-13,1645
2020-07-14,1670
2020-07-15,1661
2020-07-16,1498
2020-07-17,1338
2020-07-18,1215
2020-07-19,1112
2020-07-20,1144
2020-07-21,1110
2020-07-22,1076
2020-07-23,1053
2020-07-24,979
2020-07-25,1213
2020-07-26,877
2020-07-27,894
2020-07-28,847
2020-07-29,863
2020-07-30,903
2020-07-31,828
2020-08-01,805
2020-08-02,863
2020-08-03,841
2020-08-04,921
2020-08-05,901
2020-08-06,834
2020-08-07,749
2020-08-08,772
2020-08-09,910
2020-08-10,788
2020-08-11,828
2020-08-12,865
2020-08-13,788
2020-08-14,799
2020-08-15,794
2020-08-16,764
2020-08-17,772
2020-08-18,806
2020-08-19,735
2020-08-20,729
2020-08-21,705
2020-08-22,753
2020-08-23,753
2020-08-24,580
2020-08-25,714
2020-08-26,785
2020-08-27,713
2020-08-28,556
2020-08-29,621
2020-08-30,669
2020-08-31,697
2020-09-01,742
2020-09-02,723
2020-09-03,723
2020-09-04,634
2020-09-05,624
2020-09-06,625
2020-09-07,721
2020-09-08,713
2020-09-09,722
2020-09-10,742
2020-09-11,702
2020-09-12,663
2020-09-13,726
2020-09-14,724
2020-09-15,721
2020-09-16,691
2020-09-17,699
2020-09-18,564
2020-09-19,578
2020-09-20,696
2020-09-21,660
2020-09-22,623
2020-09-23,578
2020-09-24,679
2020-09-25,558
2020-09-26,540
2020-09-27,678
2020-09-28,685
2020-09-29,735
2020-09-30,792
2020-10-01,827
2020-10-02,800
2020-10-03,719
2020-10-04,697
2020-10-05,1303
2020-10-06,1406
2020-10-07,1215
2020-10-08,980
2020-10-09,870
2020-10-10,810
2020-10-11,853
2020-10-12,842
2020-10-13,885
2020-10-14,828
2020-10-15,798
2020-10-16,702
2020-10-17,627
2020-10-18,647
2020-10-19,707
2020-10-20,868
2020-10-21,751
2020-10-22,797
2020-10-23,683
2020-10-24,615
2020-10-25,650
2020-10-26,680
2020-10-27,633
2020-10-28,694
2020-10-29,596
2020-10-30,649
2020-10-31,538
2020-11-01,612
2020-11-02,623
2020-11-03,627
2020-11-04,684
2020-11-05,652
2020-11-06,614
2020-11-07,541
2020-11-08,566
2020-11-09,573
2020-11-10,519
2020-11-11,403
2020-11-12,508
2020-11-13,436
2020-11-14,443
2020-11-15,512
2020-11-16,526
2020-11-17,549
2020-11-18,529
2020-11-19,513
2020-11-20,503
2020-11-21,550
2020-11-22,1147
2020-11-23,813
2020-11-24,706
2020-11-25,653
2020-11-26,635
2020-11-27,606
2020-11-28,770
2020-11-29,699
2020-11-30,699
2020-12-01,747
2020-12-02,793
2020-12-03,648
2020-12-04,572
2020-12-05,642
2020-12-06,584
2020-12-07,627
2020-12-08,575
2020-12-09,521
2020-12-10,481
2020-12-11,443
2020-12-12,637
2020-12-13,475
2020-12-14,523
2020-12-15,492
2020-12-16,512
2020-12-17,491
2020-12-18,513
2020-12-19,1155
2020-12-20,1440
2020-12-21,907
2020-12-22,798
2020-12-23,717
2020-12-24,643
2020-12-25,521
2020-12-26,545
2020-12-27,744
2020-12-28,579
2020-12-29,568
2020-12-30,510
2020-12-31,486
2021-01-01,483
2021-01-02,596
2021-01-03,487
2021-01-04,587
2021-01-05,587
2021-01-06,644
2021-01-07,653
2021-01-08,565
2021-01-09,533
2021-01-10,669
2021-01-11,651
2021-01-12,568
2021-01-13,579
2021-01-14,682
2021-01-15,571
2021-01-16,440
2021-01-17,428
2021-01-18,638
2021-01-19,499
2021-01-20,626
2021-01-21,585
2021-01-22,612
2021-01-23,578
2021-01-24,590
2021-01-25,640
2021-01-26,554
2021-01-27,625
2021-01-28,810
2021-01-29,678
2021-01-30,619
2021-01-31,758
2021-02-01,629
2021-02-02,701
2021-02-03,817
2021-02-04,754
2021-02-05,654
2021-02-06,586
2021-02-07,821
2021-02-08,821
2021-02-09,829
2021-02-10,1013
2021-02-11,1176
2021-02-12,1070
2021-02-13,3485
2021-02-14,4799
2021-02-15,3420
2021-02-16,2894
2021-02-17,2533
2021-02-18,2588
2021-02-19,2258
2021-02-20,1945
2021-02-21,1940
2021-02-22,2062
2021-02-23,1890
2021-02-24,1783
2021-02-25,1692
2021-02-26,1368
2021-02-27,1325
2021-02-28,1464
2021-03-01,1526
2021-03-02,1532
2021-03-03,1307
2021-03-04,1400
2021-03-05,1105
2021-03-06,1047
2021-03-07,1236
2021-03-08,1317
2021-03-09,1226
2021-03-10,1349
2021-03-11,1187
2021-03-12,1288
2021-03-13,1069
2021-03-14,1134
2021-03-15,1214
2021-03-16,1055
2021-03-17,1147
2021-03-18,1067
2021-03-19,975
2021-03-20,943
2021-03-21,1065
2021-03-22,997
2021-03-23,1136
2021-03-24,1165
2021-03-25,1023
2021-03-26,1069
2021-03-27,1013
2021-03-28,1029
2021-03-29,1011
2021-03-30,1006
2021-03-31,1104
2021-04-01,976
2021-04-02,840
2021-04-03,913
2021-04-04,961
2021-04-05,890
2021-04-06,989
2021-04-07,1131
2021-04-08,1187
2021-04-09,1020
2021-04-10,1180
2021-04-11,1130
2021-04-12,1059
2021-04-13,1128
2021-04-14,1080
2021-04-15,1031
2021-04-16,884
2021-04-17,860
2021-04-18,910
2021-04-19,959
2021-04-20,960
2021-04-21,985
2021-04-22,811
2021-04-23,822
2021-04-24,860
2021-04-25,880
2021-04-26,972
2021-04-27,898
2021-04-28,969
2021-04-29,922
2021-04-30,944
2021-05-01,954
2021-05-02,1058
2021-05-03,1000
2021-05-04,886
2021-05-05,1013
2021-05-06,1088
2021-05-07,1086
2021-05-08,957
2021-05-09,936
2021-05-10,1037
2021-05-11,862
2021-05-12,958
2021-05-13,931
2021-05-14,908
2021-05-15,793
2021-05-16,892
2021-05-17,919
2021-05-18,753
2021-05-19,928
2021-05-20,961
2021-05-21,840
2021-05-22,799
2021-05-23,846
2021-05-24,1045
2021-05-25,1018
2021-05-26,945
2021-05-27,947
2021-05-28,895
2021-05-29,785
2021-05-30,819
2021-05-31,898
2021-06-01,900
2021-06-02,904
2021-06-03,877
2021-06-04,790
2021-06-05,851
2021-06-06,911
2021-06-07,861
2021-06-08,834
2021-06-09,774
2021-06-10,832
2021-06-11,766
2021-06-12,791
2021-06-13,799
2021-06-14,839
2021-06-15,773
2021-06-16,787
2021-06-17,833
2021-06-18,811
2021-06-19,707
2021-06-20,661
2021-06-21,706
2021-06-22,748
2021-06-23,830
2021-06-24,832
2021-06-25,772
2021-06-26,711
2021-06-27,792
2021-06-28,797
2021-06-29,781
2021-06-30,747
2021-07-01,711
2021-07-02,710
2021-07-03,722
2021-07-04,786
2021-07-05,742
2021-07-06,677
2021-07-07,677
2021-07-08,629
2021-07-09,654
2021-07-10,600
2021-07-11,647
2021-07-12,707
2021-07-13,617
2021-07-14,626
2021-07-15,510
2021-07-16,723
2021-07-17,668
2021-07-18,570
2021-07-19,645
2021-07-20,709
2021-07-21,653
2021-07-22,754
2021-07-23,669
2021-07-24,620
2021-07-25,736
2021-07-26,599
2021-07-27,719
2021-07-28,726
2021-07-29,845
2021-07-30,1765
2021-07-31,3968
2021-08-01,2219
2021-08-02,1629
2021-08-03,1438
2021-08-04,1549
2021-08-05,1490
2021-08-06,1597
2021-08-07,1481
2021-08-08,1522
2021-08-09,1332
2021-08-10,1289
2021-08-11,1113
2021-08-12,1241
2021-08-13,1230
2021-08-14,1053
2021-08-15,1176
2021-08-16,1255
2021-08-17,1119
2021-08-18,1173
2021-08-19,1317
2021-08-20,1034
2021-08-21,1115
2021-08-22,1132
2021-08-23,1112
2021-08-24,1080
2021-08-25,1076
2021-08-26,1151
2021-08-27,1101
2021-08-28,1066
2021-08-29,993
2021-08-30,1103
2021-08-31,994
2021-09-01,991
2021-09-02,1217
2021-09-03,1071
2021-09-04,1002
2021-09-05,937
2021-09-06,947
2021-09-07,1003
2021-09-08,1088
2021-09-09,925
2021-09-10,846
2021-09-11,881
2021-09-12,984
2021-09-13,1094
2021-09-14,1003
2021-09-15,1159
2021-09-16,1139
2021-09-17,914
2021-09-18,1081
2021-09-19,1090
2021-09-20,1237
2021-09-21,1344
2021-09-22,1317
2021-09-23,1237
2021-09-24,1281
2021-09-25,1286
2021-09-26,1276
2021-09-27,1375
2021-09-28,1457
2021-09-29,1429
2021-09-30,1637
2021-10-01,1670
2021-10-02,1546
2021-10-03,1632
2021-10-04,2062
2021-10-05,1937
2021-10-06,2081
2021-10-07,1948
2021-10-08,1818
2021-10-09,1897
2021-10-10,2017
2021-10-11,2066
2021-10-12,1963
2021-10-13,1844
2021-10-14,1977
2021-10-15,1926
2021-10-16,1873
2021-10-17,1728
2021-10-18,2313
2021-10-19,2143
2021-10-20,1973
2021-10-21,1893
2021-10-22,1715
2021-10-23,1683
2021-10-24,1751
2021-10-25,1885
2021-10-26,1851
2021-10-27,1842
2021-10-28,1792
2021-10-29,1752
2021-10-30,1678
2021-10-31,1642
2021-11-01,1569
2021-11-02,1772
2021-11-03,1630
2021-11-04,1594
2021-11-05,1619
2021-11-06,1347
2021-11-07,1609
2021-11-08,1643
2021-11-09,1523
2021-11-10,1635
2021-11-11,1688
2021-11-12,1530
2021-11-13,1417
2021-11-14,1505
2021-11-15,1643
2021-11-16,1518
