video_id,title,views,likes,shares,comments_added,saves,engagement_rate,publish_time,url
tkvid_336,"Pagbigyan ft. Carl, Carlo, and Carlito",24000,6379,183,55,183,28.333333333333332,2024-07-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7395888726125088008?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_386,Suko na po ako boss,435000,68400,36700,255,4071,25.155402298850575,2024-11-05 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7433675399986498823?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_220,"Live at Samsung Hall, SM Aura | We Play Here! by Warner Music Philippines. Watch on Youtube",1400000,291700,10100,583,34800,24.084500000000002,2023-06-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7243395956320832774?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_154,Out now on all music platforms!,244200,50400,1008,266,6716,23.91072891072891,2023-04-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7221348643939437829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_181,Otw na kami para hanapin ang dating tamis ng pagsasama,285000,62200,657,358,4463,23.746666666666666,2023-04-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7226294314027011333?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_390,"As we count down to the release of our latest single, “Lagi Na Lang,” coming out at midnight tonight, enjoy this one final treat for our previous single, “Pagbigyan” featuring Gian Bernardino from Cup of Joe – LIVE!  Just 6 hours to go! Presave through the link in our bio",65300,13100,817,101,950,22.921898928024504,2024-11-07 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7434487009940393223?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_193,idol niyo pagod na,280900,58500,1695,579,2920,22.6749733001068,2023-05-04 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7229259894484995334?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_178,"""Leonora"", but vocals only",702600,139900,2061,720,16100,22.599060631938514,2023-04-24 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7225549539397078277?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_288,"look at you go, leonora!  ""Maria Clara"", Out at Friday, 12am!!",953600,196300,537,860,14200,22.220742449664428,2024-03-06 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7343209660410793222?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_151,"We heard your comments, so here it is!",87700,17000,581,268,1607,22.18472063854048,2023-04-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7220638621357985030?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_350,Sige lang,127300,19700,6464,312,1206,21.745483110761977,2024-08-21 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7405528116921224466?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_167,akala nyo ibang content na no?? hindi!!! leonora pa rin yan!,298700,57800,423,530,3574,20.866086374288585,2023-04-18 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223337246445866245?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_165,POV: hinaharana ka namin,1000000,190800,2122,1118,13800,20.784,2023-04-17 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7222987162038357274?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_338,Kanta tungkol sa pagmamahal na uunahin ang sarili,34800,6243,317,154,425,20.514367816091955,2024-07-28 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7396625671033802002?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_344,It's not always easy but that's life,33000,6065,251,87,353,20.472727272727273,2024-08-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7401414597623680263?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_463,#TangingIkaw lang sa araw ng mga puso,1200000,157900,69200,1251,11400,19.97925,2025-02-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7470872389316791560?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_194,Serenading kween,166900,30300,1019,176,1842,19.974236069502695,2023-05-05 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7229642816748653829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_471,#TangingIkaw ang pakakasalan,377900,61400,7332,236,5643,19.743582958454617,2025-02-19 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7473085403046612231?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_475,Hi bff nagpaparinig nga pala ako #kungmagingakinka #fyp #crush #opm #thesugarcaneph,134800,20900,3534,129,1917,19.643916913946587,2025-02-23 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7474574600609844488?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_486,try lang new feature HAHHAHA #goodmorning #fyp #leonora #tiktokmusikat #layout,339700,56000,4729,217,3462,18.960259052104796,2025-08-14 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7538210793121238280?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_216,Leonora | Live at K-Lite 103.5,164200,27700,867,136,2379,18.92935444579781,2023-06-09 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7242527918197361926?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_143,What if i-release na namin ‘to?,271500,46100,366,135,4145,18.69097605893186,2023-03-28 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7215595322121145605?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_182,"𝐏𝐚𝐚𝐥𝐚𝐦, 𝐋𝐞𝐨𝐧𝐨𝐫𝐚 - OUT NOW ON SPOTIFY & YOUTUBE!",604600,100600,1155,576,8019,18.251736685411842,2023-04-28 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7226935054541262086?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_427,Perfect first kiss song??  Pre-save link on bio!,340900,52900,2473,304,6355,18.196538574361984,2025-01-16 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7460439468311383303?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_184,"“𝑷𝒂𝒂𝒍𝒂𝒎, 𝑳𝒆𝒐𝒏𝒐𝒓𝒂” – 𝑶𝒖𝒕 𝒐𝒏 𝑺𝒑𝒐𝒕𝒊𝒇𝒚  𝑹𝒆𝒂𝒅𝒚 𝒌𝒂 𝒏𝒂 𝒃𝒂 𝒎𝒂𝒔𝒂𝒌𝒕𝒂𝒏?",138300,23000,297,176,1649,18.164859002169198,2023-04-29 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7227308507010223366?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_169,Tamang games lang sa gedli,413500,68800,808,591,4700,18.11342200725514,2023-04-19 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223683711982636315?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_308,MARIA CLARA LIVE ON WISH 107.5,170800,29100,344,69,1133,17.942622950819672,2024-03-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7350626972923481349?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
