publish_year,publish_month,video_count,total_views,total_likes,total_shares,total_comments,avg_views,avg_likes
2021,6,2,9050.0,377.0,14.0,26.0,4525.0,188.5
2021,7,4,17341.0,581.0,41.0,39.0,4335.25,145.25
2021,10,1,2490.0,76.0,1.0,0.0,2490.0,76.0
2022,3,2,13774.0,534.0,34.0,41.0,6887.0,267.0
2022,4,5,25720.0,1188.0,130.0,76.0,5144.0,237.6
2022,5,3,18185.0,616.0,91.0,24.0,6061.666666666667,205.33333333333334
2022,7,9,105268.0,3001.0,144.0,122.0,11696.444444444443,333.44444444444446
2022,8,5,48172.0,1299.0,62.0,45.0,9634.4,259.8
2022,10,1,12800.0,372.0,18.0,10.0,12800.0,372.0
2023,2,3,803400.0,72394.0,998.0,508.0,267800.0,24131.333333333332
2023,3,10,454923.0,61202.0,704.0,464.0,45492.3,6120.2
2023,4,43,19013200.0,2541243.0,47568.0,18028.0,442167.4418604651,59098.67441860465
2023,5,27,8438700.0,853832.0,16413.0,5310.0,312544.44444444444,31623.40740740741
2023,6,10,2500300.0,442785.0,14021.0,1690.0,250030.0,44278.5
2023,7,6,491800.0,45436.0,1073.0,275.0,81966.66666666667,7572.666666666667
2023,8,1,21400.0,2568.0,223.0,53.0,21400.0,2568.0
2023,9,15,4983000.0,172754.0,7298.0,1757.0,332200.0,11516.933333333332
2023,10,14,1029741.0,87707.0,1231.0,881.0,73552.92857142857,6264.785714285715
2023,11,16,1134787.0,53726.0,805.0,868.0,70924.1875,3357.875
2023,12,4,252100.0,11457.0,69.0,245.0,63025.0,2864.25
2024,1,4,271800.0,17494.0,149.0,362.0,67950.0,4373.5
2024,3,26,3089029.0,344935.0,2576.0,2365.0,118808.80769230769,13266.73076923077
2024,4,12,350978.0,12043.0,208.0,327.0,29248.166666666668,1003.5833333333334
2024,5,8,83357.0,6764.0,94.0,177.0,10419.625,845.5
2024,6,1,9105.0,604.0,10.0,19.0,9105.0,604.0
2024,7,8,81413.0,14936.0,578.0,322.0,10176.625,1867.0
2024,8,12,236180.0,34250.0,7275.0,610.0,19681.666666666668,2854.1666666666665
2024,9,3,16879.0,1288.0,48.0,82.0,5626.333333333333,429.3333333333333
2024,10,22,204032.0,23191.0,1479.0,637.0,9274.181818181818,1054.1363636363637
2024,11,40,3055853.0,400547.0,82901.0,3222.0,76396.325,10013.675
2024,12,7,57763.0,4899.0,509.0,197.0,8251.857142857143,699.8571428571429
2025,1,15,3612200.0,407382.0,29257.0,2499.0,240813.33333333334,27158.8
2025,2,38,7591697.0,774048.0,149340.0,5159.0,199781.5,20369.684210526317
2025,3,1,133500.0,10900.0,127.0,32.0,133500.0,10900.0
2025,4,1,26400.0,2361.0,68.0,56.0,26400.0,2361.0
2025,5,3,213700.0,6936.0,115.0,45.0,71233.33333333333,2312.0
2025,7,3,73800.0,7774.0,473.0,92.0,24600.0,2591.3333333333335
2025,8,1,339700.0,56000.0,4729.0,217.0,339700.0,56000.0
2025,9,5,876330.0,6169.0,467.0,272.0,175266.0,1233.8
