sound_category,video_count,total_views,avg_views,avg_likes
Original Sound,98,24274844.0,247702.48979591837,29348.29591836735
Leonora,42,9796569.0,233251.64285714287,30979.11904761905
Tanging Ikaw,39,8337597.0,213784.53846153847,21547.410256410258
Sinehan,31,5855628.0,188891.2258064516,7418.129032258064
Lagi Na Lang,47,3122134.0,66428.3829787234,8532.659574468085
Maria Clara,35,2324979.0,66427.97142857143,4486.657142857143
Kung Maging Akin Ka,6,1359375.0,226562.5,22611.0
"Paalam, Leonora",9,1283400.0,142600.0,20545.333333333332
Original,29,825677.0,28471.62068965517,2221.206896551724
(Sound not available),2,331900.0,165950.0,33700.0
Pagbigyan,20,289805.0,14490.25,2182.8
Paruparo,7,229789.0,32827.0,2448.285714285714
Set You Free - Sugarcane,2,210300.0,105150.0,4421.5
Estranghero,1,195000.0,195000.0,23400.0
Dalangin,2,157600.0,78800.0,7027.0
Set You Free,1,123800.0,123800.0,6194.0
If You Be MineSinehan,1,120800.0,120800.0,9220.0
Gunita,2,96800.0,48400.0,4230.0
Walang Kapalit (AM VER),1,96500.0,96500.0,4629.0
Sinehan - Sugarcane,1,80200.0,80200.0,4843.0
